行番号,ID,事件番号,事件名,裁判年月日,法廷名,裁判種別,結果,判例集等巻・号・頁,原審裁判所名,原審事件番号,原審裁判年月日,判示事項,裁判要旨,参照法条
5962,55562,昭和25(れ)1325,所得税法違反、公務執行妨害,昭和27年3月28日,最高裁判所第二小法廷,判決,棄却,刑集　第6巻3号546頁,大阪高等裁判所,,昭和25年4月14日,"一　収税官吏が検査章を携帯せずにした物件検査行為とこれに対する公務執行妨害罪の成否
二　収税官吏に対して暴行脅迫を加えてその職務の執行を妨げた場合の罪責","一　所得税に関する調査等をする職務を有する収税官吏が、所得税法第六三条により帳簿書類等の検査をするにあたつて、法定の検査章を携帯していなかつたとしても、納税義務者等において右検査章の不携帯を理由として右収税官吏の検査を拒んだような事実のない以上、これに対して暴行又は脅迫を加えたときは公務執行妨害罪を構成する。
二　収税官吏が所得税法第六三条により帳簿書類等の検査をするにあたり、これに対して暴行脅迫を加えてその検査を妨げた場合には、公務執行妨害罪のみが成立し、所得税法第七〇条の別罪を構成するものではない。",所得税法63条，所得税法70条9号，同法施行規則63条，刑法95条1項
5963,55563,昭和25(れ)132,物価統制令違反,昭和26年2月2日,最高裁判所第二小法廷,判決,棄却,刑集　第5巻3号385頁,大阪高等裁判所,,昭和23年11月12日,旧刑訴法第四〇四条にいわゆる正当な自由のない事例,記録を精査するに、原審第三回公判期日として指定された昭和二四年一〇月四日に被告人が病気のため診断書を添えて（受診断書には昭和二四年九月二七日より向う一〇日間の静養を要する旨が記載されている）期日変更を申請し、このため次回公判期日が同年一一月一日と指定されたことが認められるけれども右の事実は第四回公判期日における被告人の不出頭についての正当の理由とはならない。又たとい弁護人中一人の死亡の事実を仮りに認めても弁護人全部の不出頭を正当化するものでもないと言わなければならない。されば強制弁護の事件でない本件において旧刑訴法第四〇四条により原審第四回公判期日において被告人、弁護人共に不出頭のままＡ、Ｂ両証人を喚問して審理を終結しても何等違法ということはできない。,旧刑訴法404条，旧刑訴法410条8号，旧刑訴法410条11号
5964,55564,昭和25(れ)1375,僞造公文書行使、公文書僞造、詐欺,昭和26年4月27日,最高裁判所第二小法廷,判決,破棄自判,刑集　第5巻5号947頁,大阪高等裁判所,,昭和25年5月24日,"一　農業団体法（昭和一八年法律第四六号）に定める縣農業会の職員は公務員ではない−同会名義の木炭出荷指図書は私文書である
二　経済関係罰則の整備に関する法律第二条の趣旨","一　経済関係罰則の整備に関する法律第一条の規定と対比して見ると、同条は別表甲号に掲げる経済団体の「役員其ノ他ノ職員ハ罰則ノ適用ニ付テハ之ヲ法令ニ依リ公務ニ従事スル職員ト看做ス」旨を規定しているが同第二条には、かかる規定は存在しない。すなわち、以上各規定の趣旨からみれば、右別表甲号、乙号掲記の経済団体の職員はいずれも本来の意義における公務員ではないのであるが、ただ甲号団体の職員に限つて罪則の適用については公務員とみなされるに過ぎないことがわかる。従つて、本件農業会のごとき乙号掲記の団体の職員は、もとより公務員でなく、又公務員とみなされるものでもなく、ただ同法第二条の涜職罪の規定の適用を受けるに止まるものというべきである。その他に右縣農業会の職員を以て「法令ニ依リ公務ニ従事スル職員」と解すべき何らの法規上の根拠はないのであるから、従つて縣農業会は、これを公務所と解すべきでなく、その作成すべき出荷指図書のごときは公文書たる性質を有しないものと解すべきである。
二　今経済関係罰則の整備に関する法律をみると、第二条は同法所定の「会社若シクハ組合又ハ此等ニ準ズルモノニシテ別表乙号ニ掲グルモノノ役員其ノ他ノ職員」について、涜職罪に関する罰則を規定し、右別表乙号には「二二」として縣農業会が掲げられているのであるが、若し縣農業会の職員が公務員ならば、刑法の涜職罪の規定が当然に適用せられるのであつてかかる同罪に関する特則を設ける必要はない。もとより、これらの職員に対して、特に法定刑を軽減するの趣旨を以て刑法涜職罪の規定に対する右のごとき特則が定められたものとは、右「経済関係罰則ノ整備ニ関スル法律」制定の趣旨からして、到底考えられない。",農業団体法1条，農業団体法10条，經済関係罰則の整備に関する法律2条，經済関係罰則の整備に関する法律1条（別表甲号を省く），別表乙号「22」，刑法7条，刑法159条1項，刑法197条，経済関係罰則の整備に関する法律2条，経済関係罰則の整備に関する法律1条（別表甲号を省く）
5965,55565,昭和25(れ)1448,麻薬取締法違反,昭和26年7月20日,最高裁判所第二小法廷,判決,棄却,刑集　第5巻8号1592頁,"仙台高等裁判所
        　秋田支部",,昭和25年6月21日,"一　麻薬取締法施行前に入手した麻薬の所持と麻薬取締法第三条第一項但書の適用
二　麻薬であることの認定資料
三　麻薬取締法第一条にいわゆる麻薬の種類判示の要否","一　麻薬取締法第三条第一項但書には「但しこの法律の規定により麻薬を麻薬施用者から施用のため交付を受け又は麻薬小売業者若しくは家庭麻薬小売業者から譲り受け若しくは譲り受けた者がその麻薬を所持することはこの限りではない」と規定してあるから、この但書の適用のある場合は麻薬取締法の規定によつて麻薬の交付を受け、又は譲り受けた者がこれを所持する場合に限られることは明らかである。それゆえ麻薬取締法施行数年間にその子女の病気に施用するため入手した麻薬であつても、同法施行後の所持については右但書の規定はその適用がないものと解すべきである。
二　麻薬取締法違反事件の物件が麻薬であることを、薬剤師の資格を有する被告人の供述によつて認定しても不当ではない。
三　判示麻薬が、麻薬取締法第一条の何号に属する麻薬であるかを特に判示しなくても、違法ではない。",麻薬取締法3条，麻薬取締法1条，旧刑訴法336条
5966,55566,昭和25(れ)1453,常習賭博,昭和26年4月10日,最高裁判所第三小法廷,判決,棄却,刑集　第5巻5号825頁,名古屋高等裁判所,,昭和25年5月22日,常習賭博罪における数個の賭博行為と罪数,常習賭博罪における数個の賭博行為は、包括して単純な一罪を構成する。,刑法186条1項
5967,55567,昭和25(れ)1544,殺人、銃砲等所持禁止令,昭和26年2月27日,最高裁判所第三小法廷,判決,棄却,刑集　第5巻3号466頁,福岡高等裁判所,,昭和25年6月29日,銃剣を不法に所持する者がその銃剣を使用して殺人を行つた場合の罪数,記録に徴するに被告人は本件殺人行為を為すに使用した銃剣を不法に所持していたものであるそして銃剣の不法所持罪はその所持を開始した特に成立するのであるから、本件殺人行為の行われる以前において本件不法所持罪は成立したわけであつて、たまたま被告人が本件殺人行為を為すに用いた銃剣が不法所持にかかるものであるとしても、殺人行為と不法所持行為とは別個の行為であり、別個の犯罪と見るべきであつて一個の行為と見ることはできない。従つて原審において被告人の判示行為に対し刑法第五四条第一項前段を適用せず同第四五条前段を適用したことは正当であり論旨は理由がない。,銃砲等所持禁止令1条，銃砲所持禁止令2条，刑法199条，刑法54条1項，刑法45条
5968,55568,昭和25(れ)1640,食糧管理法違反,昭和26年3月16日,最高裁判所第二小法廷,判決,棄却,刑集　第5巻4号598頁,高松高等裁判所,,昭和25年9月9日,"一　医師の診断書記載の療養期間内に指定された次回公判期日における被告人の不出頭が旧刑訴第四〇四条にいう「正当ノ事由」あるものと認められない一事例
二　旧刑訴第四〇四条は憲法第三七条第二項に違反するか","一　控訴審において、被告人が疾病の故をもつて、数次にわたり医師の診断書を添えた公判期日の延期申請書を提出し、第一、二、三回公判期日に出頭せず、第四回公判期日には延期又は変更の申請書を提出せず且つ被告人の病状について何ら疏明することなく出頭しなかつた場合において、前記診断書の記載に全幅の信頼を置き難き事情があり、弁護人においても右公判期日に一回も出頭せず、且つ第四回公判期日の弁論再開の申請もなされなかつた以上、右第四回公判期日が診断書記載の安静加療を要する期間内に指定されたからといつて、その一事をもつて同公判期日における被告人の不出頭を旧刑訴第四〇四条にいう「正当ノ事由」によるものということはできない。
二　旧刑訴第四〇四条は、憲法第三七条第二項に違反するものではない",旧刑訴法404条，憲法37条2項
5969,55569,昭和25(れ)1664,物価統制令違反、酒税法違反,昭和26年4月10日,最高裁判所第三小法廷,判決,棄却,刑集　第5巻5号829頁,東京高等裁判所,,昭和25年6月26日,政府の免許を受けないで酒類を製造した者が統制額を超過して販売する目的でその酒類を所持する場合の罪数,政府の免許を受けないで酒類を製造した者が、統制額を超過して販売する目的でその酒類を所持する場合には、酒税法違反罪のほかに物価統制令違反罪が成立し、両者は併合罪となるものと解すべきである。,酒税法（昭和24年法律43号による改正前）14条，酒税法（昭和24年法律43号による改正前）60条1項2項，物価統制令13条1項，刑法45条
5970,55570,昭和25(れ)1711,横領,昭和26年4月13日,最高裁判所第二小法廷,判決,棄却,刑集　第5巻5号898頁,"名古屋高等裁判所
        　金沢支部",,昭和25年9月29日,"一　裁判所法第三三条第三項による事件移送前における簡易裁判所の訴訟手続の効力
二　犯罪の時が判示事実と証拠との間にくいちがいがある判決の適否","一　簡易裁判所がその事物管轄に属する罪名により起訴せられた事件につき、審理の中途において裁判所法第三三条第三項の場合に当るものと認めて事件を管轄地方裁判所に移送し、同地方裁判所は審理の上その事件を簡易裁判所の事物管轄に属しない罪名により処断すべきものと認めた場合にも、右移送前に既にした簡易裁判所の訴訟手続はその効力を失うものでないことは、旧刑訴法第一二条の規定によつて明らかである。
二　犯罪の時は罪となるべき事実の属するものではないから、この点について判決理由と証拠との間に多少のくいちがいがあつても、これがためにその判決を違法として破棄するに足りない。",裁判所法33条3項，旧刑訴法12条，旧刑訴法360条1項，旧刑訴法410条19号
5971,55571,昭和25(れ)1718,公務執行妨害,昭和26年3月20日,最高裁判所第三小法廷,判決,棄却,刑集　第5巻5号794頁,大阪高等裁判所,,昭和25年6月14日,公務執行妨害罪における暴行は直接公務員に加えられることを要しない,公務員の職務の執行に当りその執行を妨害するに足る暴行を加えるものである以上、それが直接公務員の身体に対するものであると否とは問うところではない。本件においては、原判示によれば、被告人はＣ事務官等が適法な令状後段説示により押収した煙草を街路上に投げすててその公務の執行を不能ならしめたというのであるから、その暴行は間接には同事務官等に対するものと謂い得る。故にかかる被告人の暴行を公務執行妨害罪に問疑した原判決は正当でこれを攻撃する論旨は理由がない。,刑法95条
5972,55572,昭和25(れ)1759,関税法違反,昭和26年2月22日,最高裁判所第一小法廷,決定,棄却,刑集　第5巻3号418頁,福岡高等裁判所,,昭和25年9月12日,上告審においてはじめて緊急避難である旨主張することの適否,上告審においてはじめて被告人の所為は緊急避難に該当し違法性がない旨主張することはできない。,刑法37条，旧刑訴法409条
5973,55573,昭和25(れ)1764,殺人、窃盜等,昭和26年4月17日,最高裁判所第三小法廷,判決,棄却,刑集　第5巻5号909頁,東京高等裁判所,,昭和25年7月11日,控訴審の判決言渡期日に被告人が二回以上正当の理由なく不出頭のまま終結した弁論を再開し弁論を行つた上即日結審したことは違法か,弁論終結後判決言渡のための公判期日に適法な召喚を受けながら被告人は出頭しなかつたので更に期日を定めて召喚したのに被告人が正当な理由なくして出頭しなかつたときは、裁判所は右再度の言渡期日に弁論を再開し被告人が不出頭のまま弁論を行い即日結審したからといつて旧刑訴法第四一〇条第八号に違反しない。,旧刑訴法404条，旧刑訴法410条8号
5974,55574,昭和25(れ)1768,強盗、住居侵入、銃砲等所持禁止令違反,昭和26年2月2日,最高裁判所第三小法廷,判決,その他,刑集　第5巻3号395頁,大阪高等裁判所,,昭和24年11月11日,刑事の契印を欠く判決書の適否と共同上告人に対する破棄理由の共通,原判決を調べて見るに、その第二葉目と第三葉目との間に所論の契印を欠いていることは明である。旧刑訴法によると、判決書に判示の契印が欠けているときは常に上告の理由があつて判決に影響を及ぼすべき法令違背あるものと、されているのであるから、論旨は理由があり原判決は破棄を免れない。そして、原判決は被告人Ａに対する強盗、住所侵入、銃砲等所持禁止令違反被告事件についてばかりであく同一事件の共同被告人であるＢに対しても言渡されたものであるから、前記破棄の理由は共同被告人たるＢにも共通のものといわなければならない。従つて原判決は右Ｂの為にも破棄を免れないのである。,旧刑訴法71条2項，旧刑訴法410条21号，旧刑訴法451条
5975,55575,昭和25(れ)1781,臨時物資需給調整法違反等,昭和26年4月10日,最高裁判所第三小法廷,判決,棄却,刑集　第5巻5号835頁,高松高等裁判所,,昭和25年9月30日,繊維製品の指定に関する告示の廃止および衣料品配給規則の一部施行停止と従前の行為の可罰性,繊維製品の指定に関する商工省告示の廃止および衣料品配給規則の一部施行停止は、その廃止または施行停止以前に行われた違反行為の可罰性に何らの影響を与えるものではない。,臨時物資需給調整法附則2項，旧刑訴法363条
5976,55576,昭和25(れ)1852,強盗予備、強盗,昭和26年4月3日,最高裁判所第三小法廷,判決,棄却,刑集　第5巻5号804頁,大阪高等裁判所,,昭和25年7月31日,強盗予備罪と強盗罪が併合罪となる一事例,被告人が甲乙と強盗と共謀し被害者方に侵入しようとしたが強盗の目的を達せずその予備をした後、さらに乙、丙と右同一被害者方に強盗に押し入ることを共謀しその目的を遂げた場合は、強盗予備罪と強盗罪の併合罪となる。,刑法236条，刑法237条，刑法45条前段
5977,55577,昭和25(れ)1870,強盗殺人,昭和26年4月5日,最高裁判所第一小法廷,判決,棄却,刑集　第5巻5号809頁,福岡高等裁判所,,昭和25年9月19日,自白の補強証拠は間接証拠で足りるか,しかし、所謂自白の補強証拠としては、主として犯罪の客観的方面に関するものであり、自白の真実性を裏附けするに足るものであれば十分であつて、その間接的証拠であると直接的証拠であるとを問わないものと解すべきである。この見解は既に当裁判所大法廷の判例によつて判示せられている（昭和二三年（れ）第七七号同二四年五月一八日判例集三巻六号七三四頁、同二三年（れ）第一一二号同年七月一四日判例集二巻八号八七六頁参照）。,憲法38条3項，刑訴応急措置法10条3項
5978,55578,昭和25(れ)1902,建造物侵入、業務妨害,昭和27年2月22日,最高裁判所第二小法廷,判決,棄却,刑集　第6巻2号288頁,東京高等裁判所,,昭和25年8月12日,"一　生産管理と威力による業務妨害罪の成立
二　生産管理の違法性
三　労働関係調整法第七条と争議行為の適法性","一　生産管理として多数の威力をもつて会社の事業の管理即ち支配を排除した以上、刑法第二三四条の業務妨害が成立する。
二　経営権と労働権との対等を保障している現行の法律秩序からすれば、両者の間に労働協約による特別の定めがないかぎり、企業経営、生産行程の指揮命令は使用者側の権限に属するのであるから、同盟罹業が有効でないからといつて使用者側に属する生産手段の管理を排除してそれを組合側の実力支配の下におくところの、いわゆる生産管理は適法の争議行為といえない。
三　労働関係調整法第七条は争議行為の定義を掲げただけであるから、具体的争議行為の適法性は別個の観点から判断すべきである。",労働関係調整法7条，労働組合法（昭和24年法律174号による改正前のもの）1条，刑法234条，刑法233条
5979,55579,昭和25(れ)1947,業務上横領等,昭和26年4月17日,最高裁判所第三小法廷,判決,棄却,刑集　第5巻5号915頁,東京高等裁判所,,昭和25年7月17日,統制額超過買入の罪と統制額超過販売の罪との関係,統制額を超過してある物品を買い入れた罪とその物品を統制額を超過して販売した罪とは併合罪となる。,物価統制令33条，物価統制令3条，物価統制令4条，刑法45条前段，刑法54条
5980,55580,昭和25(れ)273,強盜等,昭和25年11月15日,最高裁判所大法廷,判決,棄却,刑集　第4巻11号2309頁,東京高等裁判所,,昭和24年11月28日,弁護人の立会した第一審証人訊問調書と刑訴応急措置法第一二条,第一審裁判所が公判廷外でした証人訊問調書も、弁護人が右訊問に立会してる以上、被告人が当時勾留中でこれに立ち会つていなくても、右調書に対しては刑訴応急措置法第一二条は適用されない。,刑訴応急措置法12条，旧刑訴法158条
5981,55581,昭和25(れ)718,恐喝、銃砲等所持禁止令,昭和26年2月23日,最高裁判所第二小法廷,判決,棄却,刑集　第5巻3号450頁,東京高等裁判所,,昭和25年2月28日,"一　法律が一定の規定の制定を最高裁判所に委任することの合憲性
二　刑訴施行法第一三条にいわゆる「裁判所の規則」の意議
三　公判期日に提出された被告人の上申書が旧刑訴法第三四二条にいわゆる証拠居類にあたらない事例","一　法律が一定の規定の制定を最高裁判所の規則に委任することは何ら憲法の禁ずるところでないことは、前記第法法廷判決（昭和二四年（れ）第二一二七号、同二五年一〇月二五日判決参照）の趣旨から容易にうかがわれるところである。
二　又論旨は刑訴施行法第一三条は規則の制定方を最高裁判所だけに委任せず下級裁判所にも委任しているのは憲法第七七条第三項に違反すると主張する。しかし前記刑訴規則施行規則第三条第三号は最高裁判所の制定した規則であつて下級裁判所の制定したものではないのであるから所論は本件規則の効力に無関係であるのみならず刑訴施行法第一三条に「裁判所の規則の定めるところによる」とあるいわゆる「裁判所の規則」とは憲法により司法裁判所に制定権を認められた規則の意であつて最高裁判所が憲法第七七条第一項により自ら設定する規則及び最高裁判所の委任に基き下級裁判所の制定する規則を指すことは右刑訴施行法第一三条の解釈上当然である。
三　右上申書なる書面前文を読めば右は被告人が検察官に対し恐喝の事実を自白するに至つた経緯を弁解し後日原審の公判廷において右経緯を立証し弁明しようとすることを予め裁判所に上申する趣旨の書面であつて、その後原審公判廷で裁判長が被告人弁護人に立証を促した際に同弁護人は証人としてＡ、Ｂ、Ｃの三名の喚問を申請している（右三名のうちＢ、Ｃは前記自白の経緯を立証するため申請したものと解される）のに拘らず前記上申書については裁判所に対し証拠調手続をとられたい旨促した形跡も在しないところを見ると右上申書は特に証拠として提出されたものとは認められない。してみれば右上申書は旧刑訴第三四二条にいわゆる証拠書類とはいえない。",憲法77条1項，刑訴施行法13条，起訴規則施行規則3条3号，旧刑訴法342条
5982,55582,昭和25(れ)757,贈賄,昭和25年11月10日,最高裁判所第二小法廷,判決,棄却,刑集　第4巻11号2248頁,大阪高等裁判所,,昭和25年3月24日,"一　公務員甲、乙に各別に贈賄する意見をもつて二口の金包を何人に贈与するかを指示せず同時に同場所でその旨を告げ甲に交付した場合と乙に対する贈賄罪の成立―右の場合乙が收賄したとき贈賄者に対する擬律
二　第一審において有罪とせられた二個の事実の中一個の事実を無罪としながら、なお第一審判決と同一の刑を科した場合と不利益変更の禁止","一　被告人が二千五百円と千五百円の二口の金包を、何れの金包を何人に贈与するかを指示せず、同時に同場所で判示Ａを通じＢに交付したとしても、右Ｂに対する金品の交付行為をもつてしては未だ同人に対する贈賄行為の成立あるに止り、Ｃに対してはさらに情を知つた右Ｂが判示の金品をＣに交付したときはじめてその実行行為があつたものというべきである。然らば被告人のＢに対する贈賄行為と、Ｃに対する贈賄行為とは別個の贈賄行為であつて、原判決がこれを併合罪の関係にあるものとして処断したのは相当である。
二　旧刑訴法第四〇三条にいわゆる原判決の刑より重い刑を言渡すというのは判決主文における科刑を原判決にくらべて重くするということゝは当裁判所の判例とするところである。（昭和二四年（れ）第一四八四号同年一〇月一日第二小法廷判決参照）そうして論旨引用の各判例もいずれもこれと同旨に出でたものである。されば原判決が第一審において有罪とせられた（イ）（ロ）の各贈賄事実の中（ロ）の事実を無罪としながらなお第一審判決と同一の刑を被告人に科しても旧刑訴法第四〇三条に違脊しないこと明らかである。",刑法198条，刑法197条，刑法45条前段，刑法54条1項前段，旧刑訴法403条
5983,55583,昭和25(れ)822,収賄,昭和26年7月20日,最高裁判所第二小法廷,判決,棄却,刑集　第5巻8号1586頁,大阪高等裁判所,,昭和25年4月5日,"一　賄賂収受罪判示の程度−公務員たる法令上の根拠を示す要否
二　兵庫県雇と公務員","一　公務員の賄賂収受罪を判示するに当つては、公務員であることを判断しうる具体的事実を示しその者が職務に関し賄賂を収受した事実を説明すれば足り、公務員たることの資格を認められる法令上の根拠までも示す必要はないのである。（昭和二四年（れ）第八五六号、同二五年二月二八日第三小法廷判決。最高裁判所判例終四巻二号二六八頁参照）
二　被告人は兵庫県知事より任命された国費支弁の雇であつたことが窺われる。そして、同知事にかかる雇の任命権があつたことは大正十五年六月四日勅令第一四七号地方官々制第五条第八条一行の規定の趣旨に徴し明らかである。されば、原判決は被告人の公務員たる判示に欠くるところはない。",旧刑訴法360条1項，刑法197条，刑法7条
5984,55584,昭和25(れ)841,器物毀棄,昭和27年3月19日,最高裁判所大法廷,判決,棄却,刑集　第6巻3号502頁,広島高等裁判所,,昭和25年2月20日,"一　捜索押収令状の表示の誤記と捜索押収の効力
二　捜索押収の許可を一通の令状によることは適法か","一　捜索、押収令状の捜索の場所の表示中、捜索押収を受ける者の氏名に誤記があつても、これに基いてした捜索、押収は違法にはならない。
二　捜索と押収の許可は、一通の令状に記載することができる。",憲法35条，刑訴応急措置法7条2項
5985,55585,昭和25(れ)910,麻薬取締規則違反,昭和27年3月28日,最高裁判所第二小法廷,判決,破棄差戻,刑集　第6巻3号526頁,東京高等裁判所,,昭和24年12月23日,"一　麻薬取締規則第四六条の決意
二　麻薬取締規則第二三条の法意
三　麻薬取締規則第四二条の法意","一　麻薬使用者が麻薬取締規則第四六条所定の報告書を提出するにあたつて、同条第三号にいわゆる年末に現在した麻薬は、その現在するに至つた事情の如何を問わずその数量中に加算しなければならない。
二　麻薬取締規則第二三条は、麻薬取締法第三条等のように、麻薬取扱者はその業務の目的以外のために所定の行為をしてはならない趣旨ではない。
三　麻薬取締規則第四二条は、麻薬取扱者に対しては、麻薬の入手経路所持の目的の如何を問わず、一般に所持と認められる凡ての場合について麻薬の所持を認めているものと解せられる。",麻薬取締規則46条，麻薬取締規則23条，麻薬取締規則42条，麻薬取締法3条
5986,55586,昭和25(れ)97,強盗傷人,昭和26年3月30日,最高裁判所第二小法廷,判決,破棄差戻,刑集　第5巻4号731頁,東京高等裁判所,,昭和24年11月17日,捜査官の単なる意見の陳述とその証拠能力,強盗傷人事件において強盗の犯意を認定するにあたり、当時その捜査に当つた司法主任の「品物を強奪すべくやつたというように印象に残つている」との単なる意見の陳述を証拠とすることは許されない。,旧刑訴法336条，旧刑訴法206条1項
5987,55587,昭和25(れ)981,脅迫,昭和26年7月24日,最高裁判所第三小法廷,判決,棄却,刑集　第5巻8号1609頁,大阪高等裁判所,,昭和25年3月13日,"一　第三者を介してする脅迫罪における害悪の告知
二　併合罪の事実認定と証拠説明","一　被告人が中地区警察署に対し若い者三〇名程つれてＡ小学校にフイルムを沒収に行く旨を通知したことはその前後の関係から観察して警察署からＢ青年団側に告げられるであろうことは被告人が十分認識していたものであることを推測するに十分である。そして被告人が警察署に告知した右ことがらは警察側から青年団員Ｃ等に告知されていることは挙示の証拠により明らかである。なお脅迫罪における害悪の告知は被害者に対し直接になす必要なく被告人おいて脅迫の意思を以て害悪を加うべきことを知らしめる手段を施し被害者が害悪を被るべきことを知つた事実があれば足るのであるから、被告人の害悪告知がＣ等に対し直接になされないとしても脅迫罪の成立をさまたげるものではない。
二　判決に証拠と犯罪事実との関係が明らかにされている以上、併合罪の関係にある各個の犯罪事実について個々各別にその証拠を摘示する必要はない。",刑法222条1項，旧刑訴法360条1項
5988,55588,昭和25(れ)98,暴力行為等処罰に関する法律違反・業務妨害、建造物侵入、窃盗,昭和26年7月18日,最高裁判所大法廷,判決,その他,刑集　第5巻8号1491頁,東京高等裁判所,,昭和24年10月31日,"一　公務員に対する威力の誇示と業務妨害罪の成否
二　生産管理の違法性
三　社会と組合との間に争議について妥協成立し双方の合意によつて全員解雇され組合が解散した場合と争議の終了
四　右の場合会社となお抗争を継続する組合の少数反対派の行動は争議行為といえるか
五　検挙に向つた警察官等に対しスクラムを組み労働歌を高唱する労働者等の行為と公務執行妨害の成否
六　暴力行為を等処罰に関する法律第一条第一項の合憲性","一　論旨は更に進んで、以上の如き被告人等の行為（スクラムを組み労働歌を高唱して気勢を挙げた行為）が暴力でないとすれば威力であるから、公務員執行妨害罪が成立しないとしても業務妨害罪が成立すると主張するのであるか、業務妨害罪にいわゆる業務の中には、公務員の職務は含まれないものと解するを相当とするから、公務員の公務執行に対し、かりに暴行又は脅迫に達しない程度の威力を用いたからといつて業務妨害罪が成立すると解することはできない。
二　会社の従業員等（労働組合員）が、会社との争議中、会社側の意向を全然無視し、強いて会社の建造物に立ち入つてこれを占拠し、他の従業員に就業を阻止し、あるいは会社所有の物品をほしいままに管理処分するが如き一連の行為をした場合にはかりに、原判決認定のごとき会社側に非難に値する仕打があり、従業員側にむしろ同情すべき事情があつたとしても、かかる行為を緊急止むを得ない争議行為として適法視することはできない。
三　争議中、会社と組合との間に妥協成立し、双方の合意によつて会社の従業員たる組合員全員が適法に解雇され、組合も解散したときはこれにより争議は終了する。
四　右の場合、組合の少数反対派の者が会社と飽く迄も抗争せんとして行動しても、それは争議行為とはいえない。
五　会社業務の妨害の現行犯として検挙に向つた警察官等に対し、労働者等がスクラムを組み労働歌を高唱して気勢を挙げたとしてもそれだけでは必ずしも公務執行妨害罪は成立しない。
六　暴力行為等処罰に関する法律第一条第一項の規定は、憲法第二八条、第九八条に違反しない。",刑法234条，刑法95条1項，旧刑訴法1条，憲法28条，憲法98条，暴力行為処罰に関する法律1条1項
5989,55589,昭和26(あ)1111,衆議院議員選挙法違反、同幇助,昭和26年11月15日,最高裁判所第一小法廷,判決,棄却,刑集　第5巻12号2393頁,東京高等裁判所,,昭和25年11月11日,刑訴第三二一条第一項第二号但書の規定の趣旨,刑訴第三二一条第一項第二号但書の規定は、検察官の面前における供述を録取した書面を証拠とするにあたつては該書面の供述が右公判準備又は公判期日における供述より信用すべき特別の情況が存するか否かは結局事実審裁判所の裁量にまかされているものと解するのが相当である。,刑訴法321条1項2号
5990,55590,昭和26(あ)1295,窃盗教唆、賍物収受、同寄蔵,昭和28年10月9日,最高裁判所第二小法廷,判決,棄却,刑集　第7巻10号1904頁,"広島高等裁判所
        　岡山支部",,昭和25年12月12日,"一　被告人の供述調書の任意性立証の要否
二　右供述調書の任意性の調査方法
三　右供述調書の任意性調査と公判調書","一　被告人の供述調書の任意性を被告人が争つたからといつて、必ずしも検察官にその供述の任意性について立証させねばならないものではない。
二　右供述調書の任意性の有無の調査は、裁判所が適当と認める方法によつてこれを行うことができ、かつ供述調書の方式のみでなく内容自体も右調査の資料となし得る。
三　右供述調書の任意性調査の事実は、これを必ず調書に記載しなければならないものではない。",刑訴法325条，刑訴法322条，刑訴法48条，刑訴規則44条
5991,55591,昭和26(あ)1400,窃盗、賍物運搬,昭和26年7月20日,最高裁判所第二小法廷,判決,破棄自判,刑集　第5巻8号1604頁,東京高等裁判所,,昭和25年12月5日,"一　刑法第六条違背と著しく正義に反すると認むべき場合
二　被告人の控訴及び上告に係る事件において上告審が第一、二審判決を破棄自判する場合と未決勾留日数の法廷通算","一　職権を以て調査すると、第一審判決の認定によれば、被告人の本件賍物運搬の犯行は、昭和二四年一月一七日頃であつて、未だ罰金等臨時措置法が施行されていない時のことである。従つて、第一審としては、この点につき、犯行後刑の変更があつた場合として、刑法第六条第一〇条により、行為時法と裁判時法について所定刑の軽量を比照した上、軽い行為時法を適用し、罰金刑については一〇〇〇円以下で量定しなければならなかつた筋合である。しかるに第一審判決が、事茲に出でず、直に裁判時法を適用して被告人に対して被告人に対し罰金一万円を量定し、原判決も亦この瑕疵を看過したのは、共に違法であるといわなければならない。よつて刑訴第四一一条第一号、第四一三条第一八一条により、第一審判決中の有罪部分及び原判決を破棄する。
二　被告人が控訴しさらに上告した事件において、上告審が第一、二審判決を破棄自判した場合には、第一審判決後の未決勾留日数は刑訴法第四九五条によりすべて本刑に通算さるべきである。",刑法6条，刑法10条，刑訴法411条1号，刑訴法495条
5992,55592,昭和26(あ)1418,窃盗,昭和26年9月6日,最高裁判所第一小法廷,判決,棄却,刑集　第5巻10号1901頁,高松高等裁判所,,昭和26年3月5日,"一　刑訴法第三九三条の合憲性
二　刑訴第三九三条一項本文の意義","一　刑訴法第三九三条第一項本分が、控訴審における事実取調の必要の有無を裁判所の裁量に委ねたことは、憲法に違反しない。
二　しかし、現行法上控訴審はいわゆる事後審として認められているのであつて控訴審における事実の取調は第一審判決の当否を判断するに必要な範囲にかぎられるのであり、その必要の有無は刑訴三九三条一項但書の場合を除き裁判所の裁量に委ねられているのである。",刑訴法393条1項本文，憲法11条，憲法12条，憲法37条
5993,55593,昭和26(あ)193,酒税法違反,昭和28年11月25日,最高裁判所大法廷,判決,棄却,刑集　第7巻11号2288頁,東京高等裁判所,,昭和25年10月19日,国税犯則取締法第一四条は、憲法第一四条に違反するか,国税犯則取締法第一四条は、憲法第一四条に違反しない。,憲法14条，国税犯則取締法14条
